,trade Id,Time,Stock symbol,Company,Price,Quantity,Total Amount ($),Stock/Option,Strike Price,Option type,Action,Option Expire Date,ticker,long/short,Date
893,93166621.0,10/06/2020 11:18:13 EDT,MRNA,Moderna,72.70,100,7270.00,STOCK,,,SELL,,950102542.0,short,2020-10-06
894,93125802.0,10/06/2020 10:49:19 EDT,HYLN,Hyliion Holdings Corporation,1.90,1,190.00,OPTION,33.00,put,SELL,2020-10-09,950122538.0,long,2020-10-06
895,93113933.0,10/06/2020 10:42:25 EDT,HYLN,Hyliion Holdings Corporation,32.84,50,1642.00,STOCK,,,BUY,,950122538.0,long,2020-10-06
896,93099489.0,10/06/2020 10:33:13 EDT,HYLN,Hyliion Holdings Corporation,33.70,50,1685.01,STOCK,,,BUY,,950122538.0,long,2020-10-06
897,93050283.0,10/06/2020 10:09:10 EDT,MRNA,Moderna,3.60,1,360.00,OPTION,70.50,call,SELL,2020-10-09,950102542.0,short,2020-10-06
898,92674470.0,10/05/2020 14:03:09 EDT,UVXY,ProShares Ultra VIX Short-Term Futures,20.22,50,1011.00,STOCK,,,BUY,,913424717.0,long,2020-10-05
899,92485617.0,10/05/2020 10:43:19 EDT,MRNA,Moderna,0.70,2,140.00,OPTION,73.50,call,BUY,2020-10-09,950102542.0,long,2020-10-05
900,92448831.0,10/05/2020 10:24:52 EDT,NIO,NIO Inc.,0.84,2,168.00,OPTION,21.00,put,SELL,2020-10-09,950076017.0,long,2020-10-05
901,92445212.0,10/05/2020 10:22:47 EDT,NIO,NIO Inc.,0.08,2,16.00,OPTION,18.50,put,BUY,2020-10-09,950076017.0,short,2020-10-05
902,92443251.0,10/05/2020 10:20:48 EDT,NIO,NIO Inc.,0.42,9,378.00,OPTION,22.50,call,SELL,2020-10-09,950076017.0,short,2020-10-05
903,92442121.0,10/05/2020 10:19:45 EDT,DIS,Walt Disney,3.95,2,790.00,OPTION,135.00,call,BUY,2021-01-15,913255192.0,long,2020-10-05
904,92227025.0,10/02/2020 15:43:02 EDT,UVXY,ProShares Ultra VIX Short-Term Futures,20.62,50,1030.99,STOCK,,,BUY,,913424717.0,long,2020-10-02
905,92222528.0,10/02/2020 15:41:58 EDT,CVNA,Carvana,221.12,15,3316.80,STOCK,,,BUY,,925284417.0,long,2020-10-02
906,92184481.0,10/02/2020 14:43:30 EDT,MRNA,Moderna,2.40,1,240.00,OPTION,70.50,call,BUY,2020-10-09,950102542.0,long,2020-10-02
907,92184309.0,10/02/2020 14:43:14 EDT,MRNA,Moderna,1.20,2,240.00,OPTION,73.50,call,SELL,2020-10-09,950102542.0,short,2020-10-02
908,92022428.0,10/02/2020 11:27:41 EDT,UVXY,ProShares Ultra VIX Short-Term Futures,20.94,200,4188.06,STOCK,,,SELL,,913424717.0,short,2020-10-02
909,91623293.0,10/01/2020 15:37:35 EDT,F,Ford Motor,1.92,6,1152.00,OPTION,5.00,call,SELL,2021-01-15,913255275.0,short,2020-10-01
910,91580291.0,10/01/2020 14:31:07 EDT,MRNA,Moderna,2.72,2,544.00,OPTION,70.00,call,BUY,2020-10-09,950102542.0,long,2020-10-01
911,91465133.0,10/01/2020 12:02:18 EDT,MRNA,Moderna,2.30,2,460.00,OPTION,70.00,call,SELL,2020-10-09,950102542.0,short,2020-10-01
912,91464021.0,10/01/2020 12:01:07 EDT,MRNA,Moderna,0.15,2,30.00,OPTION,73.00,call,BUY,2020-10-02,950102542.0,long,2020-10-01
913,91403603.0,10/01/2020 11:01:11 EDT,CVNA,Carvana,237.00,5,1185.00,STOCK,,,SHORT,,925284417.0,short,2020-10-01
914,91372849.0,10/01/2020 10:36:14 EDT,NIO,NIO Inc.,1.01,2,202.00,OPTION,20.50,put,SELL,2020-10-09,950076017.0,long,2020-10-01
915,91361252.0,10/01/2020 10:28:25 EDT,NIO,NIO Inc.,0.16,6,96.00,OPTION,20.00,put,BUY,2020-10-02,950076017.0,short,2020-10-01
916,91360696.0,10/01/2020 10:28:02 EDT,NIO,NIO Inc.,0.19,5,95.00,OPTION,22.00,call,SELL,2020-10-02,950076017.0,short,2020-10-01
917,91243394.0,10/01/2020 09:33:51 EDT,NIO,NIO Inc.,0.95,5,475.00,OPTION,21.00,call,BUY,2020-10-02,950076017.0,long,2020-10-01
918,91041296.0,09/30/2020 15:29:26 EDT,TWOU,2U Inc,2.50,2,500.00,OPTION,35.00,put,BUY,2020-10-16,913255832.0,short,2020-09-30
919,90994861.0,09/30/2020 14:26:50 EDT,CVNA,Carvana,221.89,10,2218.90,STOCK,,,SHORT,,925284417.0,short,2020-09-30
920,90993406.0,09/30/2020 14:25:11 EDT,UVXY,ProShares Ultra VIX Short-Term Futures,19.84,100,1983.96,STOCK,,,BUY,,913424717.0,long,2020-09-30
921,90929341.0,09/30/2020 13:12:15 EDT,NIO,NIO Inc.,0.49,4,196.00,OPTION,22.00,call,SELL,2020-10-02,950076017.0,short,2020-09-30
922,90929228.0,09/30/2020 13:12:07 EDT,NIO,NIO Inc.,0.86,5,430.00,OPTION,21.00,call,SELL,2020-10-02,950076017.0,short,2020-09-30
923,90928984.0,09/30/2020 13:11:50 EDT,NIO,NIO Inc.,0.29,9,261.00,OPTION,23.00,call,BUY,2020-10-02,950076017.0,long,2020-09-30
924,90769322.0,09/30/2020 10:33:40 EDT,SLV,iShares Silver Trust,0.29,2,58.00,OPTION,22.50,call,SELL,2020-10-02,913244503.0,short,2020-09-30
925,90764085.0,09/30/2020 10:30:04 EDT,MRNA,Moderna,1.40,2,280.00,OPTION,73.00,call,SELL,2020-10-02,950102542.0,short,2020-09-30
926,90749659.0,09/30/2020 10:20:51 EDT,NIO,NIO Inc.,0.63,9,567.00,OPTION,23.00,call,SELL,2020-10-02,950076017.0,short,2020-09-30
927,90749292.0,09/30/2020 10:20:37 EDT,NIO,NIO Inc.,1.07,9,963.00,OPTION,22.00,call,BUY,2020-10-02,950076017.0,long,2020-09-30
928,90479166.0,09/29/2020 16:06:53 EDT,UVXY,ProShares Ultra VIX Short-Term Futures,19.78,100,1978.00,STOCK,,,BUY,,913424717.0,long,2020-09-29
929,90444751.0,09/29/2020 15:27:08 EDT,NIO,NIO Inc.,0.45,9,405.00,OPTION,22.00,call,SELL,2020-10-02,950076017.0,short,2020-09-29
930,90401760.0,09/29/2020 14:29:56 EDT,NIO,NIO Inc.,0.60,2,120.00,OPTION,20.00,put,SELL,2020-10-02,950076017.0,long,2020-09-29
931,90396315.0,09/29/2020 14:22:06 EDT,NIO,NIO Inc.,0.70,5,350.00,OPTION,21.00,call,BUY,2020-10-02,950076017.0,long,2020-09-29
932,90394720.0,09/29/2020 14:19:36 EDT,NIO,NIO Inc.,0.40,4,160.00,OPTION,22.00,call,BUY,2020-10-02,950076017.0,long,2020-09-29
933,90361033.0,09/29/2020 13:28:34 EDT,NIO,NIO Inc.,0.33,4,132.00,OPTION,22.00,call,SELL,2020-10-02,950076017.0,short,2020-09-29
934,90360959.0,09/29/2020 13:28:28 EDT,NIO,NIO Inc.,0.55,5,275.00,OPTION,21.00,call,SELL,2020-10-02,950076017.0,short,2020-09-29
935,90356300.0,09/29/2020 13:21:56 EDT,NIO,NIO Inc.,0.08,2,16.00,OPTION,17.00,put,BUY,2020-10-02,950076017.0,short,2020-09-29
936,90352083.0,09/29/2020 13:15:55 EDT,NIO,NIO Inc.,0.60,4,240.00,OPTION,20.00,put,SELL,2020-10-02,950076017.0,long,2020-09-29
937,90189493.0,09/29/2020 10:26:47 EDT,NIO,NIO Inc.,0.70,4,280.00,OPTION,20.00,call,BUY,2020-10-02,950076017.0,long,2020-09-29
